titre,type_offre,type_bien,zone,prix,pieces,surface_m2,Valeur par piece,Valeur par m2,source,raison_rejet
Espace commercial 2 pièce(s) 10 m² - Kpomé,LOCATION,Boutique,kpome,5003,2.0,10.0,2502.0,500,immoask,prix_m2_trop_bas
Espace commercial 2 pièce(s) 10 m² - Kpomé,LOCATION,Boutique,kpome,5003,2.0,10.0,2502.0,500,immoask,prix_m2_trop_bas
Espace commercial 2 pièce(s) 10 m² - Kpomé,LOCATION,Boutique,kpome,5003,2.0,10.0,2502.0,500,immoask,prix_m2_trop_bas
Terrain urbain 2 pièce(s) 600 m² - Ablogame,LOCATION,Terrain,ablogame,400000,2.0,600.0,200000.0,667,immoask,prix_m2_trop_bas
Villa 3 pièce(s) 900 m² - Agoe,LOCATION,Appartement,agoe,90000,3.0,900.0,30000.0,100,immoask,prix_m2_trop_bas
"terrain,vendre,lome,agbelouve",VENTE,Terrain,agbelouve,2800000,,10000.0,,280,immoask,prix_m2_trop_bas
"villa,vendre,lome,forever",VENTE,Villa,tokoin,250000000,5.0,10.0,,25000000,immoask,prix_m2_trop_eleve
"2 chambres salon,louer,lome,tokoin",LOCATION,Appartement,tokoin,35000,3.0,80.0,11667.0,438,immoask,prix_m2_trop_bas
"maison,vendre,lome,agoe",VENTE,Maison,agoe,35000000,3.0,10.0,,3500000,immoask,prix_m2_trop_eleve
"terrain,vendre,kpalime,avetonou",VENTE,Terrain,avetonou,550000,,10000.0,,55,immoask,prix_m2_trop_bas
"terrain,vendre,kpalime,avetonou",VENTE,Terrain,avetonou,550000,,10000.0,,55,immoask,prix_m2_trop_bas
"terrain,vendre,kpalime,avetonou",VENTE,Terrain,avetonou,550000,,10000.0,,55,immoask,prix_m2_trop_bas
"terrain,vendre,kpalime,avetonou",VENTE,Terrain,avetonou,550000,,10000.0,,55,immoask,prix_m2_trop_bas
"terrain,vendre,kpalime,avetonou",VENTE,Terrain,avetonou,550000,,10000.0,,55,immoask,prix_m2_trop_bas
"terrain,vendre,kpalime,avetonou",VENTE,Terrain,avetonou,550000,,10000.0,,55,immoask,prix_m2_trop_bas
"villa,louer,lome,sagbado",LOCATION,Appartement,sagbado,100000,4.0,300.0,25000.0,333,immoask,prix_m2_trop_bas
"boutique,louer,akepe,noepe",LOCATION,Boutique,noepe,60000,1.0,80.0,60000.0,750,immoask,prix_m2_trop_bas
